NBHD_NAME,TTL_POPULATION_ALL,HISPANIC_OR_LATINO,WHITE,BLACK,NATIVE_AMERICAN,ASIAN,HAWAIIAN_PI,OTHER_RACE,TWO_OR_MORE,PCT_HISPANIC,PCT_WHITE,PCT_BLACK,PCT_NATIVE_AM,PCT_ASIAN,PCT_HAWAIIAN_PI,PCT_OTHERRACE,PCT_TWOORMORE_RACES,MALE,FEMALE,AGE_LESS_5,AGE_5_TO_9,AGE_10_TO_14,AGE_15_TO_17,AGE_0_TO_9,AGE_10_TO_19,AGE_20_TO_29,AGE_30_TO_39,AGE_40_TO_49,AGE_50_TO_59,AGE_60_TO_69,AGE_70_TO_79,AGE_80_PLUS,AGELESS18,AGE65PLUS,PCT_AGELESS18,PCT_AGE65PLUS,TTL_AGE_3_PLUS_ENRSTATUS,ENROLLED_IN_SCHOOL,NURSERY_OR_PRESCHOOL,KINDERGARTEN,GRADES_1_TO_4,GRADES_5_TO_8,GRADES_9_TO_12,COLLEGE_UNDERGRADUATE,GRADUATE_SCHOOL,NOT_ENROLLED,TOTAL_COMMUTERS,COMMUTE_LESS_15,COMMUTE_15_TO_30,COMMUTE_30_TO_45,COMMUTE_45_TO_60,COMMUTE_60_PLUS,TTLPOP_25PLUS_EDU,LESS_THAN_HS_DIPLOMA_EDU,HSGRAD_OR_EQUIV_EDU,SOMECOLLEGE_OR_AA_EDU,BACHELORS_OR_HIGHER_EDU,TTL_HOUSING_UNITS,OCCUPIED_HU,VACANT_HU,OWNER_OCCUPIED_HU,RENTER_OCCUPIED_HU,TTL_HOUSEHOLDS,FAMILY_HOUSEHOLDS,MARRIED_COUPLE_FAMILY,OTHER_FAMILY,MALE_HHLDR_NO_WIFE_PRESENT,FEMALE_HHLDR_NO_HSBND_PRESENT,NONFAMILY_HOUSEHOLD,HOUSEHOLDER_ALONE,HOUSEHOLDER_NOT_ALONE,HH_INC_LESS_10000,HH_INC_10000_14999,HH_INC_15000_19999,HH_INC_20000_24999,HH_INC_25000_29999,HH_INC_30000_34999,HH_INC_35000_39999,HH_INC_40000_44999,HH_INC_45000_49999,HH_INC_50000_59999,HH_INC_60000_74999,HH_INC_75000_99999,HH_INC_100000_124999,HH_INC_125000_149999,HH_INC_150000_199999,HH_INC_OVER_200000,PER_CAPITA_INCOME,AVG_HH_INCOME,AVG_FAM_INCOME,BUILT_2005_OR_LATER,BUILT_2000_2004,BUILT_1990_1999,BUILT_1980_1989,BUILT_1970_1979,BUILT_1960_1969,BUILT_1950_1959,BUILT_1940_1949,BUILT_1939_OR_EARLIER,NATIVE_BORN,FOREIGN_BORN_FB,PCT_IN_POVERTY,PCT_FAM_POVERTY,SHAPE_Length,SHAPE_Area
Kennedy,4089.0,1412.0,1439.0,660.0,103.0,430.0,0.0,0.0,45.0,34.53,35.19,16.14,2.52,10.52,0.0,0.0,1.1,2334.0,1755.0,544.0,308.0,78.0,36.0,852.0,133.0,1454.0,905.0,268.0,287.0,161.0,14.0,15.0,966.0,92.0,23.62,2.25,3761.0,644.0,52.0,70.0,152.0,52.0,36.0,282.0,0.0,3117.0,2034.0,340.0,986.0,252.0,400.0,56.0,2534.0,472.0,668.0,768.0,626.0,2461.0,2129.0,332.0,0.0,2129.0,2129.0,852.0,497.0,355.0,30.0,325.0,1277.0,1014.0,263.0,283.0,286.0,154.0,291.0,232.0,141.0,206.0,109.0,109.0,75.0,129.0,81.0,10.0,0.0,23.0,0.0,16340.0,31208.0,34788.0,39.0,102.0,115.0,395.0,1336.0,398.0,64.0,12.0,0.0,2625.0,1464.0,28.12,26.06,0.0769793421583,0.000190861135925
Country Club,3009.0,131.0,2340.0,59.0,0.0,86.0,0.0,0.0,393.0,4.35,77.77,1.96,0.0,2.86,0.0,0.0,13.06,1501.0,1508.0,151.0,241.0,238.0,149.0,392.0,427.0,211.0,443.0,479.0,542.0,300.0,131.0,84.0,779.0,346.0,25.89,11.5,2903.0,847.0,45.0,10.0,261.0,208.0,149.0,164.0,10.0,2056.0,1387.0,440.0,587.0,299.0,37.0,24.0,2044.0,0.0,163.0,209.0,1672.0,1371.0,1218.0,153.0,1025.0,193.0,1218.0,750.0,645.0,105.0,56.0,49.0,468.0,313.0,155.0,10.0,8.0,25.0,54.0,0.0,22.0,10.0,42.0,6.0,32.0,100.0,158.0,145.0,115.0,201.0,290.0,73668.0,179115.0,209410.0,12.0,10.0,20.0,28.0,24.0,74.0,63.0,41.0,1099.0,2847.0,162.0,1.53,0.0,0.0528651284076,0.00017668274925
Congress Park,10434.0,691.0,8417.0,583.0,73.0,287.0,39.0,38.0,306.0,6.62,80.67,5.59,0.7,2.75,0.37,0.36,2.93,5369.0,5065.0,553.0,463.0,397.0,234.0,1016.0,723.0,2509.0,2175.0,1413.0,1511.0,560.0,361.0,166.0,1647.0,644.0,15.78,6.17,10131.0,2533.0,194.0,124.0,347.0,346.0,272.0,656.0,594.0,7598.0,6366.0,1966.0,2513.0,1299.0,276.0,312.0,7774.0,253.0,663.0,1870.0,4988.0,6154.0,5595.0,559.0,2575.0,3020.0,5595.0,1909.0,1430.0,479.0,76.0,403.0,3686.0,2888.0,798.0,629.0,385.0,264.0,187.0,351.0,146.0,169.0,337.0,245.0,383.0,567.0,551.0,444.0,205.0,324.0,408.0,42610.0,78086.0,133275.0,148.0,217.0,132.0,33.0,588.0,772.0,506.0,203.0,3555.0,9772.0,662.0,12.8,6.91,0.0676194287855,0.000280072254665
City Park,2373.0,335.0,1605.0,308.0,6.0,102.0,0.0,10.0,7.0,14.12,67.64,12.98,0.25,4.3,0.0,0.42,0.29,1163.0,1210.0,125.0,25.0,43.0,15.0,150.0,95.0,520.0,594.0,344.0,274.0,197.0,52.0,147.0,208.0,317.0,8.77,13.36,2279.0,336.0,20.0,7.0,18.0,50.0,8.0,161.0,72.0,1943.0,1458.0,320.0,666.0,331.0,112.0,29.0,1968.0,140.0,196.0,398.0,1234.0,1485.0,1290.0,195.0,570.0,720.0,1290.0,491.0,435.0,56.0,0.0,56.0,799.0,681.0,118.0,78.0,90.0,27.0,30.0,70.0,63.0,123.0,40.0,62.0,44.0,200.0,131.0,70.0,35.0,151.0,76.0,45284.0,80824.0,116914.0,159.0,110.0,41.0,28.0,49.0,160.0,75.0,94.0,769.0,2228.0,145.0,13.62,9.57,0.0599408477681,0.000209148261596
Clayton,4478.0,2070.0,717.0,1495.0,9.0,33.0,0.0,11.0,143.0,46.23,16.01,33.39,0.2,0.74,0.0,0.25,3.19,2101.0,2377.0,345.0,348.0,377.0,250.0,693.0,765.0,771.0,584.0,627.0,347.0,328.0,206.0,157.0,1320.0,518.0,29.48,11.57,4319.0,1447.0,58.0,65.0,308.0,296.0,318.0,329.0,73.0,2872.0,1814.0,493.0,924.0,270.0,80.0,47.0,2683.0,1038.0,597.0,445.0,603.0,1685.0,1524.0,161.0,1055.0,469.0,1524.0,847.0,472.0,375.0,56.0,319.0,677.0,450.0,227.0,174.0,121.0,192.0,79.0,52.0,81.0,164.0,50.0,47.0,67.0,242.0,81.0,89.0,28.0,25.0,32.0,17619.0,48887.0,54283.0,10.0,25.0,47.0,12.0,127.0,109.0,305.0,335.0,715.0,3679.0,799.0,27.9,25.27,0.0598778302776,0.000209828646037
Skyland,3408.0,700.0,752.0,1573.0,138.0,0.0,0.0,34.0,211.0,20.54,22.07,46.16,4.05,0.0,0.0,1.0,6.19,1549.0,1859.0,176.0,180.0,194.0,81.0,356.0,437.0,534.0,638.0,428.0,405.0,232.0,273.0,105.0,631.0,494.0,18.52,14.5,3286.0,659.0,0.0,62.0,178.0,111.0,191.0,85.0,32.0,2627.0,1711.0,656.0,440.0,391.0,87.0,137.0,2384.0,329.0,634.0,592.0,829.0,1559.0,1385.0,174.0,915.0,470.0,1385.0,792.0,416.0,376.0,72.0,304.0,593.0,373.0,220.0,120.0,135.0,105.0,73.0,148.0,38.0,62.0,12.0,74.0,85.0,42.0,235.0,131.0,69.0,45.0,11.0,24422.0,57587.0,61901.0,6.0,0.0,33.0,94.0,49.0,90.0,484.0,368.0,435.0,3274.0,134.0,19.7,16.79,0.0605724619488,0.000207803230596
Cole,4758.0,3147.0,837.0,691.0,11.0,56.0,0.0,0.0,16.0,66.14,17.59,14.52,0.23,1.18,0.0,0.0,0.34,2297.0,2461.0,387.0,492.0,417.0,313.0,879.0,978.0,600.0,776.0,777.0,366.0,208.0,80.0,94.0,1609.0,236.0,33.82,4.96,4450.0,1541.0,64.0,33.0,331.0,420.0,483.0,139.0,71.0,2909.0,1829.0,357.0,814.0,409.0,99.0,150.0,2644.0,1025.0,649.0,461.0,509.0,1803.0,1619.0,184.0,806.0,813.0,1619.0,1024.0,577.0,447.0,252.0,195.0,595.0,477.0,118.0,319.0,96.0,203.0,89.0,85.0,91.0,76.0,46.0,119.0,122.0,181.0,93.0,48.0,51.0,0.0,0.0,13604.0,38917.0,42449.0,16.0,64.0,171.0,90.0,97.0,37.0,157.0,75.0,1096.0,3308.0,1450.0,35.97,28.52,0.0468950061357,0.000139418059844
Marston,11065.0,2476.0,7878.0,41.0,164.0,445.0,0.0,0.0,61.0,22.38,71.2,0.37,1.48,4.02,0.0,0.0,0.55,5112.0,5953.0,729.0,492.0,413.0,337.0,1221.0,1114.0,2177.0,1837.0,1480.0,1556.0,1090.0,331.0,259.0,1971.0,1118.0,17.81,10.1,10731.0,2332.0,185.0,94.0,318.0,365.0,585.0,494.0,291.0,8399.0,6162.0,1476.0,1943.0,1566.0,778.0,399.0,7844.0,210.0,1760.0,2633.0,3241.0,5571.0,5304.0,267.0,3657.0,1647.0,5304.0,2737.0,2231.0,506.0,103.0,403.0,2567.0,2031.0,536.0,200.0,196.0,102.0,265.0,268.0,448.0,247.0,171.0,338.0,503.0,664.0,845.0,326.0,150.0,426.0,155.0,34605.0,71269.0,90983.0,117.0,846.0,1539.0,1928.0,1005.0,123.0,0.0,0.0,13.0,10262.0,803.0,10.11,6.87,0.253258831788,0.000861270551958
Fort Logan,9209.0,2404.0,5803.0,146.0,34.0,673.0,0.0,15.0,134.0,26.1,63.01,1.59,0.37,7.31,0.0,0.16,1.46,4537.0,4672.0,644.0,408.0,592.0,460.0,1052.0,1268.0,1350.0,1023.0,1239.0,1204.0,845.0,728.0,500.0,2104.0,1557.0,22.85,16.91,8838.0,1970.0,116.0,94.0,313.0,504.0,473.0,459.0,11.0,6868.0,3883.0,765.0,1488.0,1052.0,375.0,203.0,6380.0,672.0,1573.0,2310.0,1825.0,3508.0,3333.0,175.0,2558.0,775.0,3333.0,2239.0,1780.0,459.0,113.0,346.0,1094.0,897.0,197.0,154.0,91.0,252.0,124.0,175.0,120.0,174.0,72.0,261.0,263.0,211.0,518.0,345.0,177.0,202.0,194.0,29154.0,77406.0,90505.0,6.0,177.0,517.0,298.0,1358.0,816.0,323.0,0.0,13.0,8250.0,959.0,13.33,7.77,0.168710674181,0.000721309231119
Bear Valley,9552.0,4161.0,4536.0,19.0,29.0,745.0,0.0,11.0,51.0,43.56,47.49,0.2,0.3,7.8,0.0,0.12,0.53,5205.0,4347.0,815.0,490.0,516.0,265.0,1305.0,1216.0,2059.0,1153.0,917.0,1313.0,837.0,378.0,374.0,2086.0,1189.0,21.84,12.45,9009.0,2104.0,91.0,114.0,370.0,346.0,624.0,493.0,66.0,6905.0,4698.0,871.0,1601.0,1425.0,434.0,367.0,5893.0,1087.0,1842.0,1500.0,1464.0,3944.0,3610.0,334.0,2030.0,1580.0,3610.0,2333.0,1868.0,465.0,148.0,317.0,1277.0,953.0,324.0,56.0,178.0,313.0,188.0,210.0,198.0,322.0,364.0,122.0,309.0,475.0,402.0,270.0,65.0,103.0,35.0,22515.0,58418.0,65971.0,7.0,506.0,77.0,522.0,1397.0,1208.0,101.0,27.0,99.0,7161.0,2391.0,17.97,13.07,0.111211990032,0.000367571924179
Harvey Park South,9555.0,4856.0,4043.0,63.0,82.0,371.0,0.0,0.0,140.0,50.82,42.31,0.66,0.86,3.88,0.0,0.0,1.47,4581.0,4974.0,868.0,875.0,432.0,282.0,1743.0,942.0,1439.0,1482.0,1151.0,1175.0,766.0,471.0,386.0,2457.0,1203.0,25.71,12.59,9101.0,2558.0,167.0,291.0,604.0,346.0,426.0,604.0,120.0,6543.0,4399.0,576.0,2002.0,1375.0,184.0,262.0,5963.0,1124.0,1835.0,1544.0,1460.0,3431.0,3221.0,210.0,1873.0,1348.0,3221.0,2273.0,1596.0,677.0,192.0,485.0,948.0,837.0,111.0,212.0,209.0,131.0,178.0,224.0,191.0,114.0,301.0,57.0,277.0,374.0,419.0,228.0,248.0,35.0,23.0,20773.0,58702.0,64807.0,15.0,197.0,210.0,305.0,511.0,328.0,1818.0,34.0,13.0,7868.0,1687.0,16.96,14.03,0.0865587484297,0.000371858392366
Southmoor Park,3489.0,396.0,2744.0,144.0,0.0,136.0,6.0,28.0,35.0,11.35,78.65,4.13,0.0,3.9,0.17,0.8,1.0,1725.0,1764.0,214.0,130.0,128.0,36.0,344.0,175.0,976.0,527.0,249.0,415.0,255.0,213.0,335.0,508.0,614.0,14.56,17.6,3356.0,481.0,103.0,15.0,96.0,96.0,46.0,39.0,86.0,2875.0,1915.0,581.0,783.0,281.0,201.0,69.0,2716.0,56.0,317.0,811.0,1532.0,2121.0,1779.0,342.0,794.0,985.0,1779.0,763.0,635.0,128.0,12.0,116.0,1016.0,787.0,229.0,85.0,21.0,31.0,145.0,110.0,167.0,198.0,44.0,56.0,121.0,213.0,173.0,222.0,41.0,70.0,82.0,37830.0,72036.0,96853.0,83.0,349.0,686.0,156.0,116.0,460.0,254.0,7.0,10.0,3259.0,230.0,4.21,0.0,0.107785474682,0.000253271094514
Hampden South,13857.0,921.0,10285.0,1606.0,0.0,738.0,0.0,0.0,307.0,6.65,74.22,11.59,0.0,5.33,0.0,0.0,2.22,6491.0,7366.0,995.0,457.0,539.0,320.0,1452.0,1099.0,2293.0,2053.0,1615.0,2105.0,1504.0,1084.0,652.0,2311.0,2355.0,16.68,17.0,13257.0,2823.0,266.0,145.0,399.0,365.0,482.0,965.0,201.0,10434.0,7457.0,1940.0,3518.0,1021.0,556.0,422.0,10212.0,705.0,1255.0,2587.0,5665.0,7791.0,7196.0,595.0,4236.0,2960.0,7196.0,3658.0,2832.0,826.0,306.0,520.0,3538.0,3155.0,383.0,474.0,302.0,182.0,382.0,347.0,329.0,386.0,537.0,325.0,569.0,801.0,868.0,426.0,393.0,475.0,400.0,41133.0,78224.0,99532.0,95.0,420.0,1080.0,1358.0,3204.0,1411.0,147.0,16.0,60.0,11679.0,2178.0,8.49,6.92,0.120253653749,0.000791261773065
Indian Creek,3168.0,325.0,2370.0,294.0,0.0,87.0,0.0,0.0,92.0,10.26,74.81,9.28,0.0,2.75,0.0,0.0,2.9,1380.0,1788.0,80.0,141.0,149.0,56.0,221.0,304.0,324.0,619.0,536.0,560.0,383.0,153.0,68.0,426.0,345.0,13.45,10.89,3116.0,644.0,12.0,5.0,126.0,184.0,134.0,94.0,89.0,2472.0,1755.0,145.0,976.0,363.0,190.0,81.0,2548.0,109.0,452.0,647.0,1340.0,1931.0,1739.0,192.0,1364.0,375.0,1739.0,710.0,503.0,207.0,29.0,178.0,1029.0,887.0,142.0,165.0,0.0,83.0,98.0,40.0,107.0,113.0,113.0,57.0,191.0,194.0,251.0,138.0,107.0,54.0,28.0,35593.0,63803.0,68004.0,0.0,12.0,228.0,1226.0,355.0,56.0,5.0,11.0,38.0,2634.0,534.0,18.97,18.03,0.0689869416111,0.000132556617492
Union Station,3749.0,172.0,3102.0,47.0,0.0,369.0,0.0,0.0,59.0,4.59,82.74,1.25,0.0,9.84,0.0,0.0,1.57,1962.0,1787.0,35.0,10.0,0.0,0.0,45.0,0.0,947.0,777.0,461.0,605.0,507.0,297.0,110.0,45.0,600.0,1.2,16.0,3714.0,325.0,10.0,0.0,0.0,0.0,9.0,144.0,162.0,3389.0,2074.0,637.0,1025.0,290.0,27.0,95.0,3374.0,168.0,341.0,528.0,2337.0,3400.0,2639.0,761.0,1217.0,1422.0,2639.0,725.0,674.0,51.0,9.0,42.0,1914.0,1670.0,244.0,347.0,120.0,117.0,73.0,55.0,79.0,30.0,104.0,14.0,142.0,253.0,365.0,225.0,123.0,264.0,328.0,76105.0,106972.0,201385.0,558.0,989.0,195.0,510.0,485.0,45.0,49.0,20.0,549.0,3394.0,355.0,12.3,3.17,0.0455047987276,0.000119416248326
Five Points,10727.0,2347.0,5787.0,2102.0,88.0,115.0,0.0,28.0,260.0,21.88,53.95,19.6,0.82,1.07,0.0,0.26,2.42,5641.0,5086.0,702.0,519.0,300.0,170.0,1221.0,635.0,2916.0,2776.0,1345.0,938.0,607.0,204.0,85.0,1691.0,536.0,15.76,5.0,10317.0,2679.0,150.0,80.0,428.0,246.0,305.0,1162.0,308.0,7638.0,5828.0,1782.0,2352.0,1104.0,381.0,209.0,7506.0,1058.0,919.0,1977.0,3552.0,6230.0,5394.0,836.0,1691.0,3703.0,5394.0,1639.0,1069.0,570.0,196.0,374.0,3755.0,2826.0,929.0,596.0,470.0,256.0,318.0,259.0,400.0,99.0,263.0,183.0,335.0,602.0,596.0,305.0,323.0,286.0,103.0,31538.0,60334.0,63189.0,940.0,1746.0,376.0,176.0,176.0,189.0,272.0,233.0,2122.0,9635.0,1092.0,28.01,25.63,0.103128604522,0.000480818117428
Stapleton,11467.0,1475.0,7593.0,1462.0,80.0,544.0,0.0,62.0,251.0,12.86,66.22,12.75,0.7,4.74,0.0,0.54,2.19,6377.0,5090.0,1403.0,898.0,238.0,91.0,2301.0,597.0,1800.0,3574.0,1928.0,730.0,350.0,96.0,91.0,2630.0,296.0,22.94,2.58,10575.0,2408.0,536.0,299.0,560.0,207.0,157.0,367.0,282.0,8167.0,4262.0,692.0,2268.0,1005.0,143.0,154.0,7982.0,1043.0,1093.0,1441.0,4405.0,3451.0,3282.0,169.0,2603.0,679.0,3282.0,2217.0,1878.0,339.0,117.0,222.0,1065.0,726.0,339.0,60.0,74.0,51.0,61.0,42.0,83.0,70.0,81.0,107.0,198.0,222.0,375.0,371.0,491.0,523.0,473.0,40520.0,126627.0,142719.0,1824.0,1596.0,0.0,25.0,0.0,6.0,0.0,0.0,0.0,10361.0,1106.0,5.63,3.52,0.301708698219,0.00244593526942
Montbello,29347.0,16164.0,1896.0,10109.0,42.0,548.0,0.0,92.0,496.0,55.08,6.46,34.45,0.14,1.87,0.0,0.31,1.69,14484.0,14863.0,2413.0,3501.0,3019.0,1739.0,5914.0,5913.0,3606.0,4330.0,4433.0,2508.0,1608.0,848.0,187.0,10672.0,1762.0,36.36,6.0,27923.0,10277.0,500.0,618.0,2766.0,2492.0,2496.0,1247.0,158.0,17646.0,11819.0,1607.0,4727.0,3113.0,1472.0,900.0,15830.0,5316.0,4195.0,4440.0,1879.0,9187.0,8422.0,765.0,5413.0,3009.0,8422.0,6582.0,4310.0,2272.0,652.0,1620.0,1840.0,1534.0,306.0,802.0,441.0,351.0,663.0,539.0,712.0,492.0,598.0,338.0,897.0,852.0,957.0,326.0,282.0,134.0,38.0,15051.0,50239.0,50850.0,106.0,528.0,1243.0,1450.0,3637.0,1981.0,142.0,55.0,45.0,19568.0,9779.0,23.02,20.94,0.160794469294,0.00137844605603
Lowry Field,7370.0,715.0,4845.0,1116.0,36.0,400.0,0.0,27.0,231.0,9.7,65.74,15.14,0.49,5.43,0.0,0.37,3.13,3530.0,3840.0,625.0,855.0,378.0,147.0,1480.0,689.0,1230.0,1377.0,1115.0,738.0,270.0,251.0,220.0,2005.0,519.0,27.2,7.04,7002.0,2461.0,283.0,216.0,610.0,284.0,223.0,522.0,323.0,4541.0,3763.0,642.0,1745.0,1067.0,160.0,149.0,4757.0,233.0,425.0,912.0,3187.0,3726.0,3416.0,310.0,1493.0,1923.0,3416.0,1628.0,1250.0,378.0,93.0,285.0,1788.0,1424.0,364.0,356.0,186.0,157.0,158.0,83.0,145.0,140.0,111.0,157.0,259.0,359.0,234.0,144.0,230.0,281.0,416.0,44506.0,94777.0,135696.0,537.0,1613.0,788.0,133.0,110.0,47.0,131.0,106.0,261.0,6440.0,930.0,14.86,15.23,0.134351253903,0.000701650778879
Chaffee Park,4324.0,2760.0,1418.0,41.0,41.0,23.0,0.0,33.0,8.0,63.83,32.79,0.95,0.95,0.53,0.0,0.76,0.19,2148.0,2176.0,526.0,281.0,169.0,157.0,807.0,410.0,885.0,553.0,481.0,464.0,385.0,236.0,103.0,1133.0,498.0,26.2,11.52,4037.0,1188.0,188.0,18.0,206.0,121.0,216.0,353.0,86.0,2849.0,1861.0,356.0,978.0,331.0,123.0,73.0,2796.0,623.0,807.0,632.0,734.0,1552.0,1497.0,55.0,1158.0,339.0,1497.0,1004.0,753.0,251.0,64.0,187.0,493.0,357.0,136.0,122.0,42.0,122.0,75.0,115.0,150.0,119.0,44.0,34.0,181.0,104.0,174.0,172.0,30.0,0.0,13.0,20946.0,58428.0,52895.0,16.0,23.0,61.0,145.0,111.0,111.0,312.0,653.0,120.0,3552.0,772.0,23.77,20.02,0.0769124789531,0.00021408783789
Sunnyside,10362.0,6496.0,3292.0,365.0,75.0,33.0,11.0,40.0,50.0,62.69,31.77,3.52,0.72,0.32,0.11,0.39,0.48,5085.0,5277.0,663.0,798.0,609.0,491.0,1461.0,1302.0,1234.0,2261.0,1314.0,1269.0,792.0,389.0,340.0,2561.0,1000.0,24.72,9.65,9970.0,2626.0,175.0,202.0,593.0,472.0,657.0,419.0,108.0,7344.0,4183.0,1256.0,2070.0,476.0,287.0,94.0,7164.0,1799.0,2083.0,1297.0,1985.0,4262.0,4120.0,142.0,2306.0,1814.0,4120.0,2225.0,1418.0,807.0,114.0,693.0,1895.0,1351.0,544.0,498.0,401.0,365.0,185.0,201.0,354.0,274.0,115.0,208.0,188.0,449.0,431.0,210.0,66.0,127.0,48.0,20014.0,48936.0,53750.0,11.0,77.0,21.0,173.0,197.0,296.0,700.0,671.0,2116.0,8576.0,1786.0,25.57,20.67,0.0826794122251,0.000387682990761
Highland,7966.0,3484.0,4317.0,45.0,20.0,21.0,0.0,13.0,66.0,43.74,54.19,0.56,0.25,0.26,0.0,0.16,0.83,4330.0,3636.0,680.0,216.0,195.0,183.0,896.0,607.0,1516.0,2047.0,1001.0,959.0,484.0,209.0,247.0,1274.0,668.0,15.99,8.39,7395.0,1375.0,76.0,50.0,195.0,164.0,266.0,461.0,163.0,6020.0,4375.0,1203.0,1622.0,1168.0,238.0,144.0,6003.0,942.0,1290.0,1107.0,2664.0,4323.0,3865.0,458.0,1911.0,1954.0,3865.0,1464.0,925.0,539.0,133.0,406.0,2401.0,1874.0,527.0,340.0,326.0,228.0,238.0,156.0,215.0,241.0,118.0,179.0,283.0,379.0,309.0,327.0,125.0,289.0,112.0,32402.0,64408.0,71724.0,299.0,380.0,223.0,135.0,203.0,184.0,424.0,261.0,2214.0,7134.0,832.0,18.83,14.96,0.0761941377022,0.000313848741775
Globeville,3614.0,2857.0,548.0,148.0,15.0,0.0,0.0,16.0,30.0,79.05,15.16,4.1,0.42,0.0,0.0,0.44,0.83,2158.0,1456.0,433.0,190.0,273.0,85.0,623.0,523.0,627.0,610.0,463.0,376.0,292.0,80.0,20.0,981.0,266.0,27.14,7.36,3320.0,648.0,21.0,76.0,140.0,224.0,55.0,132.0,0.0,2672.0,1303.0,451.0,392.0,405.0,19.0,36.0,2149.0,973.0,624.0,374.0,178.0,1165.0,1017.0,148.0,395.0,622.0,1017.0,697.0,472.0,225.0,73.0,152.0,320.0,294.0,26.0,79.0,88.0,228.0,148.0,49.0,37.0,15.0,11.0,72.0,80.0,39.0,59.0,43.0,29.0,40.0,0.0,13350.0,42001.0,47648.0,47.0,93.0,26.0,24.0,45.0,110.0,253.0,261.0,306.0,2639.0,975.0,35.56,26.4,0.128924014213,0.00056089223222
Jefferson Park,2460.0,1672.0,606.0,52.0,10.0,16.0,0.0,0.0,104.0,67.97,24.63,2.11,0.41,0.65,0.0,0.0,4.23,1186.0,1274.0,306.0,176.0,127.0,123.0,482.0,266.0,454.0,569.0,266.0,255.0,129.0,10.0,29.0,732.0,97.0,29.76,3.94,2275.0,607.0,42.0,14.0,162.0,91.0,190.0,90.0,18.0,1668.0,1059.0,340.0,384.0,47.0,108.0,180.0,1538.0,381.0,446.0,293.0,418.0,1236.0,1023.0,213.0,267.0,756.0,1023.0,535.0,239.0,296.0,88.0,208.0,488.0,338.0,150.0,170.0,154.0,0.0,166.0,89.0,26.0,20.0,97.0,40.0,40.0,56.0,53.0,41.0,60.0,11.0,0.0,17149.0,40548.0,33545.0,71.0,48.0,62.0,0.0,123.0,133.0,176.0,44.0,579.0,1923.0,537.0,43.86,48.41,0.0555895743069,0.000133906237357
Sun Valley,1569.0,612.0,339.0,386.0,0.0,129.0,0.0,73.0,30.0,39.01,21.61,24.6,0.0,8.22,0.0,4.65,1.91,586.0,983.0,348.0,94.0,245.0,96.0,442.0,443.0,156.0,269.0,121.0,53.0,55.0,10.0,20.0,783.0,64.0,49.9,4.08,1359.0,480.0,0.0,31.0,157.0,112.0,170.0,10.0,0.0,879.0,139.0,55.0,0.0,25.0,19.0,40.0,639.0,233.0,323.0,46.0,37.0,506.0,430.0,76.0,13.0,417.0,430.0,348.0,44.0,304.0,51.0,253.0,82.0,82.0,0.0,269.0,50.0,17.0,31.0,12.0,25.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4210.0,12164.0,11471.0,14.0,57.0,7.0,43.0,13.0,74.0,192.0,45.0,61.0,1361.0,208.0,80.31,78.16,0.0620039750801,0.000174790939993
Valverde,4064.0,3201.0,517.0,191.0,15.0,140.0,0.0,0.0,0.0,78.76,12.72,4.7,0.37,3.44,0.0,0.0,0.0,1678.0,2386.0,476.0,429.0,388.0,163.0,905.0,667.0,586.0,456.0,604.0,375.0,245.0,167.0,59.0,1456.0,300.0,35.83,7.38,3790.0,1184.0,151.0,41.0,316.0,362.0,240.0,74.0,0.0,2606.0,1474.0,401.0,484.0,452.0,35.0,102.0,2179.0,914.0,813.0,336.0,116.0,1258.0,1221.0,37.0,556.0,665.0,1221.0,831.0,456.0,375.0,61.0,314.0,390.0,352.0,38.0,164.0,148.0,220.0,116.0,56.0,70.0,44.0,48.0,16.0,51.0,95.0,66.0,73.0,42.0,12.0,0.0,12235.0,38300.0,44172.0,0.0,0.0,0.0,82.0,55.0,142.0,474.0,353.0,152.0,3151.0,913.0,34.77,32.61,0.0710402392589,0.000261201426119
Athmar Park,8701.0,6465.0,1766.0,7.0,210.0,170.0,0.0,0.0,83.0,74.3,20.3,0.08,2.41,1.95,0.0,0.0,0.95,4698.0,4003.0,860.0,613.0,700.0,477.0,1473.0,1356.0,1532.0,1457.0,1070.0,774.0,453.0,326.0,260.0,2650.0,760.0,30.46,8.73,8168.0,2441.0,147.0,146.0,398.0,528.0,682.0,465.0,75.0,5727.0,3955.0,1015.0,1204.0,1227.0,197.0,312.0,5133.0,1829.0,1586.0,1045.0,673.0,3042.0,2824.0,218.0,1839.0,985.0,2824.0,1921.0,1192.0,729.0,246.0,483.0,903.0,745.0,158.0,112.0,208.0,312.0,219.0,258.0,112.0,140.0,152.0,225.0,252.0,387.0,279.0,94.0,34.0,20.0,20.0,18221.0,54287.0,60417.0,42.0,78.0,57.0,9.0,185.0,387.0,1324.0,617.0,343.0,6184.0,2517.0,26.27,21.34,0.089155527937,0.000420413274204
