OBJECTID,GEOID,NAME
137,0802280,Aspen School District 1
138,0806000,Platte Valley School District RE-3
139,0805250,Las Animas School District RE-1
140,0802790,Cañon City School District RE-1
141,0803120,Cotopaxi School District RE-3
142,0802640,Buena Vista School District R-31
143,0806330,Salida School District R-32
144,0803090,Montezuma-Cortez School District RE-1
145,0805460,Mancos School District RE-6
146,0803390,Dolores School District RE-4A
147,0804920,Keenesburg School District RE-3J
148,0806420,Sangre de Cristo School District RE-22J
149,0800016,Yuma School District 1
150,0800018,Idalia School District RJ-3
151,0802670,Burlington School District RE-6J
152,0802850,Center School District 26-JT
153,0806300,Mountain Valley School District RE-1
154,0804950,Platte Valley School District RE-7
155,0806720,Prairie School District RE-11
156,0807290,Wiggins School District RE-50J
157,0803060,Colorado Springs School District 11
158,0804080,Fountain School District 8
159,0803210,Crowley County School District RE-1-J
160,0805520,Manzanola School District 3J
161,0804590,Hayden School District RE-1
162,0803330,Delta County School District 50J
163,0805790,Montrose County School District RE-1J
164,0807080,Huerfano School District RE-1
165,0804740,Genoa-Hugo School District C-113
166,0804260,Roaring Fork School District RE-1
167,0802760,Campo School District RE-6
168,0806990,Vilas School District RE-5
169,0806510,Hi-Plains School District R-23
170,0807320,Wiley School District RE-13-JT
171,0805580,McClave School District RE-2
172,0802460,Bethune School District R-5
173,0804650,Hoehne Reorganized School District 3
174,0807260,Primero Reorganized School District 2
175,0806090,Pritchett School District RE-3
176,0807110,Walsh School District RE-1
177,0806960,Trinidad School District 1
178,0804050,Fort Morgan School District RE-3
