MASTER_INCIDENT_NUMBER,PRIORITY_DESCRIPTION,PROBLEM,ADDRESS,CALL_CLASS,TIME_PHONEPICKUP,CALL_DISPOSITION,GEO_X,GEO_Y,GEO_LON,GEO_LAT,DISTRICT_ID,PRECINCT_ID,NEIGHBORHOOD_NAME
DPD-10-0641525,P3 Public Need,Vehicle Stop,W 38TH AVE / N GROVE ST,2,2010-12-31 15:07:57,Party Advised,3132790.19,1705465.45,-105.02761000000001,39.76936,1,111,Berkeley
DPD-10-0641779,P3 Public Need,Vehicle Stop,W 39TH AVE / N OSAGE ST,2,2010-12-31 18:19:09,Quit,3139020.7,1705928.84,-105.00543700000001,39.770540999999994,1,112,Sunnyside
DPD-10-0642178,P3 Public Need,Subject Stop,W 38TH AVE / N JULIAN ST,2,2010-12-31 22:43:43,Back Up / Cover Car,3131471.34,1705499.43,-105.032301,39.769472,1,111,Berkeley
DPD-10-0641055,P3 Public Need,Subject Stop,8090 E LINVALE PL,2,2010-12-31 07:41:15,"Quit,Vehicle Towed",3169997.93,1668398.96,-104.896127,39.667,3,323,Hampden
DPD-10-0642197,P3 Public Need,Vehicle Stop, E MISSISSIPPI AVE / S GENEVA ST,2,2010-12-31 22:52:09,T - Citation Issued,3177750.64,1679222.08,-104.868321,39.696567,3,321,Windsor
DPD-10-0641074,P3 Public Need,Vehicle Stop,3921 N HOLLY ST,2,2010-12-31 08:18:48,Quit,3162384.39,1706344.73,-104.92231399999999,39.771304,2,221,Northeast Park Hill
DPD-10-0642132,P3 Public Need,Vehicle Stop,W 41ST AVE / N FEDERAL BLVD,2,2010-12-31 22:23:55,Back Up / Cover Car,3133452.4,1706771.93,-105.02523000000001,39.772937,1,111,Berkeley
DPD-10-0641944,P3 Public Need,Vehicle Stop,E HAMPDEN AVE / S TAMARAC DR,2,2010-12-31 20:43:44,Quit,3169290.49,1663336.06,-104.89875900000001,39.653114,3,323,Hampden
DPD-10-0641742,P3 Public Need,Vehicle Stop,4000 N FEDERAL BLVD,2,2010-12-31 17:45:45,Warning Issued,3133467.27,1706454.36,-105.02518300000001,39.772065000000005,1,111,Sunnyside
DPD-10-0640921,P3 Public Need,Subject Stop,E SMITH RD / N QUEBEC ST,2,2010-12-31 02:35:46,Vehicle Towed,3167867.03,1706514.25,-104.90280600000001,39.771671999999995,5,512,Stapleton
DPD-10-0642162,P3 Public Need,Vehicle Stop,E 14TH AVE / N SPRUCE ST,2,2010-12-31 22:36:48,Back Up / Cover Car,3169422.4,1694514.93,-104.89755600000001,39.738704,2,223,East Colfax
DPD-10-0641929,P3 Public Need,Vehicle Stop,E COLFAX AVE / N VALENTIA ST,2,2010-12-31 20:32:17,Quit,3171071.31,1695054.49,-104.89168000000001,39.740155,2,223,East Colfax
DPD-10-0641931,P3 Public Need,Vehicle Stop, N VERBENA ST / E COLFAX AVE,2,2010-12-31 20:33:33,Quit,3171389.65,1695056.63,-104.890548,39.740155,2,223,East Colfax
DPD-10-0642098,P3 Public Need,Subject Stop,8400 E COLFAX AVE,2,2010-12-31 22:08:11,Party Advised,3171389.65,1695056.63,-104.890548,39.740155,2,223,East Colfax
DPD-10-0641961,P3 Public Need,Vehicle Stop, E COLFAX AVE / N UINTA ST,2,2010-12-31 20:55:10,Quit,3170739.76,1695052.27,-104.892859,39.740155,2,223,East Colfax
DPD-10-0641425,P3 Public Need,Subject Stop,E 14th Ave / N YOSEMITE ST,2,2010-12-31 13:34:23,Quit,3173054.38,1694537.83,-104.88464099999999,39.7387,None,None,None
DPD-10-0641464,P3 Public Need,Vehicle Stop,8700-BLK E 14TH AVE,2,2010-12-31 14:15:33,Quit,3172389.55,1694536.25,-104.887005,39.738708,2,223,East Colfax
DPD-10-0642005,P3 Public Need,Subject Stop,1777 N VALENTIA ST,2,2010-12-31 21:15:28,Arrest Made,3171059.6,1696635.74,-104.89168400000001,39.744496000000005,2,223,East Colfax
DPD-10-0642194,P3 Public Need,Vehicle Stop,E 39TH AVE / N PEORIA ST,2,2010-12-31 22:50:58,Arrest Made,3183545.16,1706409.06,-104.84703499999999,39.771087,5,512,Stapleton
DPD-10-0641434,P3 Public Need,Vehicle Stop,N CENTRAL PARK BLVD / N XANTHIA WAY,2,2010-12-31 13:45:16,T - Citation Issued,3171996.99,1698956.3,-104.888295,39.750849,5,512,Stapleton
DPD-10-0642171,P3 Public Need,Vehicle Stop, E COLFAX AVE / N XENIA ST,2,2010-12-31 22:41:12,K - Street Check Completed,3172719.51,1695066.31,-104.885819,39.740157,2,223,East Colfax
DPD-10-0642039,P3 Public Need,Vehicle Stop,Akron St / E Colfax Ave,2,2010-12-31 21:33:26,Warning Issued,3173382.5,1695047.13,-104.88346200000001,39.740092,None,None,None
DPD-10-0641075,P3 Public Need,Vehicle Stop,I70 EB / N WASHINGTON ST,2,2010-12-31 08:19:34,Quit,3146390.23,1709196.84,-104.97915400000001,39.779399,1,112,Globeville
DPD-10-0641863,P3 Public Need,Vehicle Stop,1600 W 44TH AVE,2,2010-12-31 19:42:23,Quit,3138728.57,1708111.84,-105.00643400000001,39.776538,1,111,Sunnyside
DPD-10-0641498,P3 Public Need,Vehicle Stop,W 44TH AVE / N OSAGE ST,2,2010-12-31 14:37:04,T - Citation Issued,3139013.57,1708115.21,-105.00542,39.776543,1,112,Sunnyside
DPD-10-0641713,P3 Public Need,Subject Stop,19100-BLK E 39TH PL,2,2010-12-31 17:15:23,Party Advised,3206913.49,1706177.23,-104.763912,39.76996,5,523,Gateway - Green Valley Ranch
DPD-10-0642261,P3 Public Need,Vehicle Stop,W 44TH AVE / N ELIOT ST,2,2010-12-31 23:23:31,Arrest Made,3133799.49,1708123.77,-105.02396999999999,39.776643,1,111,Sunnyside
DPD-10-0642274,P3 Public Need,Vehicle Stop,N TEJON ST / W 46TH AVE,2,2010-12-31 23:32:09,Party Advised,3137400.13,1709427.36,-105.01113500000001,39.780169,1,111,Sunnyside
DPD-10-0641135,P3 Public Need,Vehicle Stop,E STAPLETON S DR / N HOLLY ST,2,2010-12-31 09:26:19,Warning Issued,3162374.82,1708777.34,-104.922293,39.777982,2,221,Northeast Park Hill
DPD-10-0642213,P3 Public Need,Vehicle Stop,4640 N STEELE ST,2,2010-12-31 22:56:57,Arrest Made,3154641.67,1709832.73,-104.94978300000001,39.781011,2,212,Elyria Swansea
DPD-10-0641182,P3 Public Need,Vehicle Stop,W 48TH AVE / N ZUNI ST,2,2010-12-31 10:17:33,Party Advised,3136070.61,1710814.7,-105.01583899999999,39.783997,1,111,Chaffee Park
DPD-10-0640962,P3 Public Need,Vehicle Stop,N NORTHFIELD QUEBEC ST / N SAND CREEK RD,2,2010-12-31 03:51:21,Quit,3168141.06,1710277.65,-104.901743,39.781998,5,511,Stapleton
DPD-10-0640928,P3 Public Need,Vehicle Stop,4343 N AIRPORT WAY,2,2010-12-31 02:46:22,Quit,3198232.35,1708227.03,-104.794737,39.775776,5,522,Gateway - Green Valley Ranch
DPD-10-0641488,P3 Public Need,Subject Stop,4500-BLK N PEORIA ST,2,2010-12-31 14:29:30,Quit,3183528.11,1708938.9,-104.847031,39.778032,5,521,Montbello
DPD-10-0641716,P3 Public Need,Vehicle Stop,N EUREKA CT / E 46TH AVE,2,2010-12-31 17:16:32,Warning Issued,3192112.85,1709080.03,-104.816485,39.778246,5,521,Montbello
DPD-10-0641497,P3 Public Need,Vehicle Stop,4500-BLK N HAVANA ST,2,2010-12-31 14:36:50,Party Advised,3178245.59,1709174.67,-104.86581899999999,39.778782,5,511,Montbello
DPD-10-0642006,P3 Public Need,Vehicle Stop,5000-BLK-FEDERAL N ELIOT ST,2,2010-12-31 21:17:20,Quit,3133781.13,1712055.37,-105.02396200000001,39.787436,1,111,Chaffee Park
DPD-10-0642022,P3 Public Need,Vehicle Stop,5100-BLK N FEDERAL BLVD,2,2010-12-31 21:23:46,Warning Issued,3133434.0,1712711.81,-105.02518500000001,39.789243,1,111,Regis
DPD-10-0641651,P3 Public Need,Vehicle Stop,E 48TH AVE / N WASHINGTON ST,2,2010-12-31 16:34:46,Quit,3146621.24,1710913.57,-104.978297,39.784108,1,112,Globeville
DPD-10-0641984,P3 Public Need,Subject Stop,N FEDERAL BLVD / I70 EB,2,2010-12-31 21:06:39,Party Advised,3133442.14,1710884.97,-105.02519,39.784228000000006,1,111,Berkeley
DPD-10-0641325,P3 Public Need,Vehicle Stop,W 49TH AVE / N LOWELL BLVD,2,2010-12-31 12:16:17,Quit,3130800.56,1711378.38,-105.03458,39.78562,1,111,Regis
DPD-10-0641749,P3 Public Need,Subject Stop,4709 N TOWER RD,2,2010-12-31 17:51:28,Quit,3204538.31,1710503.68,-104.772238,39.781889,5,522,Gateway - Green Valley Ranch
DPD-10-0642206,P3 Public Need,Vehicle Stop,E 46TH AVE / N PEORIA ST,2,2010-12-31 22:55:08,Quit,3183526.54,1709509.36,-104.847022,39.779598,5,511,Montbello
DPD-10-0641898,P3 Public Need,Vehicle Stop,E 52ND AVE / N DULUTH CT,2,2010-12-31 20:09:02,Arrest Made,3191627.52,1712963.32,-104.818108,39.788916,5,521,Montbello
DPD-10-0640858,P3 Public Need,Vehicle Stop,N CHAMBERS RD / E 53RD AVE,2,2010-12-31 01:21:07,Warning Issued,3193971.44,1713505.24,-104.809753,39.790355,5,522,Gateway - Green Valley Ranch
DPD-10-0641111,P3 Public Need,Subject Stop,7970 E NORTHFIELD BLVD,2,2010-12-31 09:02:46,In Service,3169894.6,1711586.84,-104.895473,39.78556,5,511,Stapleton
DPD-10-0641784,P3 Public Need,Vehicle Stop,N CROWN BLVD / E ANDREWS DR,2,2010-12-31 18:24:12,Warning Issued,3187959.59,1711266.88,-104.831204,39.784334,5,521,Montbello
DPD-10-0641775,P3 Public Need,Subject Stop,4701 N PEORIA ST,2,2010-12-31 18:17:01,Quit,3183522.6,1710525.69,-104.84701,39.782388,5,521,Montbello
